,Unnamed: 0,CamId,Filename,S_Spring,S_Summer,S_Fall,S_Winter,D_Night,D_Twilight,D_Sunrise,D_Sunset,D_Day,D_FullDaylight,I_Height,I_Width,I_LowestSky,I_Low09Sky,DQ_TimeDiffers,IQ_Empty,IQ_Noise,Conds,Fog,Rain,Snow,Hail,Thunder
70263,70263,6798,20130610_070946.jpg,0,1,0,0,0,0,0,0,1,1,480,640,352,350,0,0,0.024828879196571788,Mostly Cloudy,0,0,0,0,0
35353,35353,22788,20140208_065725.jpg,0,0,0,1,0,0,0,0,1,1,800,1280,357,351,203,0,0.11083863972348074,Clear,0,0,0,0,0
66434,66434,65,20130210_210311.jpg,0,0,0,1,0,0,0,0,1,1,720,1280,425,420,468,0,0.5956542731382128,Scattered Clouds,0,0,0,0,0
8468,8468,11160,20130625_052320.jpg,0,1,0,0,0,0,1,0,0,1,480,640,233,232,93,0,0.4599867542181462,Mostly Cloudy,0,0,0,0,0
40950,40950,260,20140507_174453.jpg,1,0,0,0,0,0,0,0,1,1,720,1280,337,325,251,0,0.4587691930162728,Mostly Cloudy,0,0,0,0,0
15292,15292,17218,20131116_064019.jpg,0,0,1,0,1,0,0,0,0,0,600,960,310,310,100,0,1.844725461405772e-17,Unknown,0,0,0,0,0
81560,81560,8438,20130130_174632.jpg,0,0,0,1,0,0,0,0,1,1,600,800,271,267,166,0,0.2961639170366886,Overcast,0,0,0,0,0
83910,83910,8733,20130227_160645.jpg,0,0,0,1,0,0,0,0,1,1,480,640,321,319,136,0,0.3209927962332563,Overcast,0,0,0,0,0
65800,65800,623,20140715_234152.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,435,435,409,0,0.4384843140864296,Clear,0,0,0,0,0
43118,43118,3297,20131214_003114.jpg,0,0,0,1,1,0,0,0,0,0,412,550,242,236,331,0,0.2779879159697941,Mostly Cloudy,0,0,0,0,0
76870,76870,7211,20121128_071010.jpg,0,0,1,0,0,1,0,0,0,0,1024,1280,415,406,0,0,0.3209927962332557,Mostly Cloudy,0,0,0,0,0
