,Unnamed: 0,CamId,Filename,S_Spring,S_Summer,S_Fall,S_Winter,D_Night,D_Twilight,D_Sunrise,D_Sunset,D_Day,D_FullDaylight,I_Height,I_Width,I_LowestSky,I_Low09Sky,TimeStamp,DQ_TimeDiffers,IQ_Empty,IQ_Noise,Conds,Fog,Rain,Snow,Hail,Thunder
0,82480,6798,20130211_040949.jpg,0,0,0,1,1,0,0,0,0,0,480,640,352,350,07:00-1,231,0,2.056.754.051.512.080,Mostly Cloudy,0,0,0,0,0
1,42853,5020,20140101_054539.jpg,0,1,0,0,1,0,0,0,0,0,480,640,247,243,06:00-3,195,0,0.13566751892005438,Scattered Clouds,0,0,0,0,0
2,11838,3396,20130315_203836.jpg,1,0,0,0,1,0,0,0,0,0,960,1280,484,482,18:20+1,198,1,0.2316565966415004,Partly Cloudy,0,0,0,0,0
3,31149,9291,20140616_211531.jpg,0,1,0,0,1,0,0,0,0,0,480,640,152,143,19:50+1,145,0,3.337.637.624.959.790,Scattered Clouds,0,0,0,0,0
4,85531,3888,20131227_201222.jpg,0,0,0,1,1,0,0,0,0,0,240,320,69,68,21:00+0,48,0,1,03E-01,Clear,0,0,0,0,0
5,44670,11331,20140620_224115.jpg,0,1,0,0,1,0,0,0,0,0,665,857,181,180,22:50+1,51,1,1,14E-17,Scattered Clouds,0,0,0,0,0
6,32946,9730,20130105_192702.jpg,0,1,0,0,1,0,0,0,0,0,480,640,182,179,17:00-4,93,0,0.5741518330064797,Mostly Cloudy,0,0,0,0,0
7,35040,17244,20130827_013545.jpg,0,1,0,0,1,0,0,0,0,0,480,640,157,142,18:44-6,51,0,9.580.778.617.686.040,Mostly Cloudy,0,0,0,0,0
8,53383,17244,20131016_093555.jpg,0,0,1,0,1,0,0,0,0,0,480,640,157,142,05:40-6,125,0,962.604.378.643.078,Clear,0,0,0,0,0
9,21239,8438,20130310_061641.jpg,1,0,0,0,1,0,0,0,0,0,600,800,271,267,00:53-6,37,0,0.4724011938164413,Overcast,0,0,0,0,0
10,54587,8887,20131014_013814.jpg,0,0,1,0,1,0,0,0,0,0,768,1024,52,48,01:50+1,48,0,0.8769686281728555,Mostly Cloudy,0,0,0,0,0
11,27173,162,20130622_053840.jpg,0,1,0,0,1,0,0,0,0,0,720,1280,521,513,22:52-6,46,0,18.776.359.939.980.200,Clear,0,0,0,0,0
12,5652,65,20130418_030312.jpg,1,0,0,0,1,0,0,0,0,0,720,1280,425,420,19:15-7,48,0,68.784.182.869.303.600,Clear,0,0,0,0,0
13,65625,11160,20131121_025320.jpg,0,0,1,0,1,0,0,0,0,0,480,640,233,232,05:20+0,147,0,16.728.041.399.920.000,Overcast,0,0,0,0,0
14,93302,5020,20130628_011533.jpg,0,0,0,1,1,0,0,0,0,0,480,640,247,243,23:00-3,45,0,1,16E+00,Rain,0,1,0,0,0
15,79948,18590,20140130_110926.jpg,0,0,0,1,1,0,0,0,0,0,480,640,280,268,01:52-6,197,0,0.3639976764967093,Clear,0,0,0,0,0
16,78499,8438,20130208_011634.jpg,0,0,0,1,1,0,0,0,0,0,600,800,271,267,16:53-6,143,0,0.5311469527430267,Clear,0,0,0,0,0
17,93849,10917,20111214_172408.jpg,0,0,0,1,1,0,0,0,0,0,960,1280,959,959,15:50+0,94,0,0.5244940746133372,Rain Showers,0,1,0,0,0
18,32421,861,20140609_060600.jpg,0,1,0,0,1,0,0,0,0,0,480,640,164,163,19:54-7,192,1,0.2283301575766545,Clear,0,0,0,0,0
19,29656,3837,20130723_004534.jpg,0,1,0,0,1,0,0,0,0,0,480,640,124,119,04:00+0,195,0,9.374.014.893.898.180,,0,0,0,0,0
